"FieldName","FieldLabel","DataType","SourceTable","ValueSet"
"ACF_REFLEXES_LT_UPPER_EXTREMITY","Left upper extremity","Selection","GeneralModel","ACF_REFLEXES_LT_UPPER_EXTREMITY"
"ACF_REFLEXES_PLANTAR","Plantar","Selection","GeneralModel","ACF_REFLEXES_PLANTAR"
"ACF_REFLEXES_RT_LOWER_EXTREMITY","Right lower extremity","Selection","GeneralModel","ACF_REFLEXES_RT_LOWER_EXTREMITY"
"ACF_REFLEXES_RT_UPPER_EXTREMITY","Right upper extremity","Selection","GeneralModel","ACF_REFLEXES_RT_UPPER_EXTREMITY"
"ACF_RENAL_IMPAIRMENT","Renal impairment","Selection","GeneralModel","ACF_RENAL_IMPAIRMENT"
"ACF_RENAL_IMPAIRMENT_HIGHEST_ALT","Highest value for AST (SGPT)","String","GeneralModel",""
"ACF_RENAL_IMPAIRMENT_HIGHEST_AST","Highest value for AST (SGOT)","String","GeneralModel",""
"ACF_RENAL_IMPAIRMENT_HIGHEST_CREATININE","Highest creatinine","String","GeneralModel",""
"ACF_RENAL_IMPAIRMENT_TOTAL_BILIRUBIN","Total bilirubin","String","GeneralModel",""
"ACF_SEVERE_MUSCLE_WEAKNESS","Severe muscle weakness","Selection","GeneralModel","ACF_SEVERE_MUSCLE_WEAKNESS"
"ACF_TACHYCARDIA","Tachycardia","Selection","GeneralModel","ACF_TACHYCARDIA"
"ACF_TACHYPNEA","Tachypnea","Selection","GeneralModel","ACF_TACHYPNEA"
"ACF_TEMPERATURE_INSTABILITY","Temperature instability","Selection","GeneralModel","ACF_TEMPERATURE_INSTABILITY"
"ACF_VISUAL_FIELD_EXAM","Visual field exam","Selection","GeneralModel","ACF_VISUAL_FIELD_EXAM"
"ACTION_ON_REQUEST","Action (granted, denied in part, denied in entirety, unable to respond)","String","GeneralModel",""
"ACTIVITIES_FAMILY_LEAD_TESTED","Has anyone else living in the home or anyone who has frequent contact with your child been tested for lead?","Selection","LeadModel","ACTIVITIES_FAMILY_LEAD_TESTED"
"ACTIVITIES_FAMILY_LEAD_TESTED_BLL","Blood Lead Level","Number","LeadModel",""
"ACTIVITIES_FAMILY_LEAD_TESTED_DATE","Date of Test","Date","LeadModel",""
"ACTIVITIES_FAMILY_LEAD_TESTED_FIRST_NAME","First Name","String","LeadModel",""
"ACTIVITIES_FAMILY_LEAD_TESTED_LAST_NAME","Last Name","String","LeadModel",""
"ACTIVITIES_FAMILY_LEAD_TESTED_SIBLINGS","*Counseled family on having other siblings <16 years of age tested for lead?*","Selection","LeadModel","ACTIVITIES_FAMILY_LEAD_TESTED_SIBLINGS"
"ACTIVITIES_FAMILY_LEAD_TESTED_WHO","Who?","ReferenceCode","LeadModel","FAMILY_RELATIONSHIP"
"ACTIVITIES_FAMILY_RISK","Does anyone in regular contact with your child have a job or hobby involving lead? (e.g. plumbing, auto body repair, cable or wire splicing, electrical equipment repair, fishing, shooting, welding, home renovations, salvaging metal or batteries)","Selection","LeadModel","ACTIVITIES_FAMILY_RISK"
"ACTIVITIES_FAMILY_RISK_MEMBER","Household Member","ReferenceCode","LeadModel","FAMILY_RELATIONSHIP"
"ACTIVITIES_FAMILY_RISK_MEMBER_EXPOSURE_TYPE","Type of Exposure","Selection","LeadModel","ACTIVITIES_FAMILY_RISK_MEMBER_EXPOSURE_TYPE"
"ACTIVITIES_FAMILY_RISK_MEMBER_FIRST_NAME","First Name","String","LeadModel",""
"ACTIVITIES_FAMILY_RISK_MEMBER_LAST_NAME","Last Name","String","LeadModel",""
"ACTIVITIES_FAMILY_RISK_MEMBER_LOCATION","Activity Location","String","LeadModel",""
"ACTIVITIES_FAMILY_RISK_MEMBER_OTHER","Specify","String","LeadModel",""
"ACTIVITIES_FAMILY_RISK_MEMBER_TYPE","Activity","ReferenceCode","LeadModel","ACTIVITIES"
"ACTIVITIES_FAMILY_RISK_MEMBER_TYPE_OTHER","Specify","String","LeadModel",""
"ACTIVITIES_FAMILY_TESTED_WHO_OTHER","Specify","String","LeadModel",""
"ACUPUNCTURE","Have acupuncture","Selection","HepModel","ACUPUNCTURE"
"ACUTE_FLACCID_PARALYSIS","Did the patient suffer Acute Flaccid Paralysis?","Selection","GeneralModel","ACUTE_FLACCID_PARALYSIS"
"ACUTE_RESPIRATORY_DISEASE_SYNDROM","Acute Respiratory Disease Syndrome (ARDS)","Selection","GeneralModel","ACUTE_RESPIRATORY_DISEASE_SYNDROM"
"ADD_ALTERNATE_CONTACT","Add alternate contact/ parent/ guardian/ next of kin?","Selection","GeneralModel","ADD_ALTERNATE_CONTACT"
"ADD_ALTERNATE_CONTACT","Add alternate contact/ parent/ guardian/ next of kin?","Selection","STDModel","ADD_ALTERNATE_CONTACT"
"ADD_ALTERNATE_CONTACT","Add alternate contact/ parent/ guardian/ next of kin?","Selection","HepModel","ADD_ALTERNATE_CONTACT"
"ADD_EP_SYMP","Symptoms","ReferenceCode","GeneralModel","Symptoms for NCOV"
"ADD_EPI_ONSET_DATE","Onset date of other episode","Date","GeneralModel",""
"ADD_RI_EPI","Did you have other respiratory illness episode?","Selection","GeneralModel","ADD_RI_EPI"
"ADDITIONAL_SOURCE_CASE_REPORT","Additional sources of case report","Selection [Multiple]","GeneralModel","ADDITIONAL_SOURCE_CASE_REPORT"
"ADDITIONAL_SOURCE_CASE_REPORT","Additional sources of case report","Selection [Multiple]","HepModel","ADDITIONAL_SOURCE_CASE_REPORT"
"ADDL_PREGNANCY_12_MONTHS","Additional pregnancy in the last 12 months","ReferenceCode","STDModel","YNUR"
"ADDL_PREGNANCY_OUTCOME","Pregnancy outcome","Selection","STDModel","ADDL_PREGNANCY_OUTCOME"
"ADDL_PREGNANCY_OUTCOME_DELIVERY_DATE","Delivery date","Date","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY","Delivery facility","Party","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_CITY","City","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_COUNTRY","Country","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_COUNTY","County","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_EMAIL","Email address","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_FAX","Fax number","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_FULL_NAME","Name","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_ISLAND","Island","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_STATE","State","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_STREET_ADDRESS_1","Street address","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_STREET_ADDRESS_2","Street address 2","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_TELEPHONE","Phone number","String","STDModel",""
"ADDL_PREGNANCY_OUTCOME_DELIVERY_FACILITY_ZIP_CODE","Zip code","String","STDModel",""
"ADDL_SEARCHES_INTERNET_SVCS","Does this field record require searches through the Internet Services Desk?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS"
"ADDL_SEARCHES_INTERNET_SVCS_COMPLETED","Additional searches through Internet Services Desk completed","Selection [Multiple]","STDModel","ADDL_SEARCHES_INTERNET_SVCS_COMPLETED"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED","What Internet searches were conducted?","Selection [Multiple]","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_FACEBOOK_SUCCESSFUL","Facebook search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_FACEBOOK_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_GOOGLE_SUCCESSFUL","Google search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_GOOGLE_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_MY_SPACE_SUCCESSFUL","MySpace search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_MY_SPACE_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_NETSLEUTH_SUCCESSFUL","Netsleuth search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_NETSLEUTH_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_OTHER_DESC","Other search","String","STDModel",""
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_OTHER_SUCCESSFUL","Other search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_OTHER_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_PIPL_SUCCESSFUL","PIPL search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_PIPL_SUCCESSFUL"
"ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_US_SEARCH_SUCCESSFUL","US Search search successful?","Selection","STDModel","ADDL_SEARCHES_INTERNET_SVCS_CONDUCTED_US_SEARCH_SUCCESSFUL"
"ADDRESS_SOURCE","Case address source","Selection","STDModel","ADDRESS_SOURCE"
"address_status","","Integer","ids_contactpoint",""
"ADDRESS_TYPE","Address type","Selection","STDModel","ADDRESS_TYPE"
"ADDRESS_TYPE","Address type","String","HepModel",""
"ADDRESS_TYPE","Address type","Selection","GeneralModel","ADDRESS_TYPE"
"ADMITTED_TO_NEONATAL_INTENSIVE_CARE_UNIT","Admitted to NICU","Selection","GeneralModel","ADMITTED_TO_NEONATAL_INTENSIVE_CARE_UNIT"
"ADMITTING_DIAGNOSIS_1_ICD_9","Admitting diagnosis 1, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"ADMITTING_DIAGNOSIS_2_ICD_9","Admitting diagnosis 2, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"ADMITTING_DIAGNOSIS_3_ICD_9","Admitting diagnosis 3, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"ADMITTING_DIAGNOSIS_4_ICD_9","Admitting diagnosis 4, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"ADMITTING_DIAGNOSIS_5_ICD_9","Admitting diagnosis 5, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"ADMITTING_DIAGNOSIS_AVAILABLE","Admitting diagnoses available?","Selection","GeneralModel","ADMITTING_DIAGNOSIS_AVAILABLE"
"ADULT_COC","COC Code:","String","LeadModel",""
"ADULT_CURRENT_ISLAND","Island","ReferenceCode","LeadModel","HAWAII_ISLANDS"
"ADULT_DATE_OF_CONTACT","Date of contact:","Date","LeadModel",""
"ADULT_DATE_OF_CONTACT_DATE_METHOD","Method:","Selection","LeadModel","ADULT_DATE_OF_CONTACT_DATE_METHOD"
"ADULT_DATE_OF_CONTACT_DATE_METHOD_OTHER_SPECIFY","Specify:","String","LeadModel",""
"ADULT_DATE_OF_CONTACT_DATE_TYPE","Type of contact:","Selection","LeadModel","ADULT_DATE_OF_CONTACT_DATE_TYPE"
"ADULT_DATE_OF_CONTACT_DATE_TYPE_OTHER_SPECIFY","Specify:","String","LeadModel",""
"ADULT_DATE_OF_CONTACT_PERSON_CONTACTED","Name of person contacted:","String","LeadModel",""
"ADULT_DATE_OF_CONTACT_REASON","Reason:","String","LeadModel",""
"ADULT_EVENT_DATE","Date entered into system","Date","LeadModel",""
"ADULT_HISPANIC","Hispanic origin?","Selection","LeadModel","ADULT_HISPANIC"
"ADULT_NAICS","NAICS Code:","String","LeadModel",""
"ADULT_RACE","Race","Selection","LeadModel","ADULT_RACE"
"ADULT_RACE_OTHER_SPECIFY","Please specify","String","LeadModel",""
"ADULT_SIC","SIC Code:","String","LeadModel",""
"AF_FACILITY_UID","AIDS diagnosing facility","Party","STDModel",""
"AF_FACILITY_UID_CITY","City","String","STDModel",""
"AF_FACILITY_UID_COUNTRY","Country","String","STDModel",""
"AF_FACILITY_UID_COUNTY","County","String","STDModel",""
"AF_FACILITY_UID_EMAIL","Email address","String","STDModel",""
"AF_FACILITY_UID_FAX","Fax number","String","STDModel",""
"AF_FACILITY_UID_FULL_NAME","Name","String","STDModel",""
"AF_FACILITY_UID_ISLAND","Island","String","STDModel",""
"AF_FACILITY_UID_STATE","State","String","STDModel",""
"AF_FACILITY_UID_STREET_ADDRESS_1","Street address","String","STDModel",""
"AF_FACILITY_UID_STREET_ADDRESS_2","Street address 2","String","STDModel",""
"AF_FACILITY_UID_TELEPHONE","Phone number","String","STDModel",""
"AF_FACILITY_UID_ZIP_CODE","Zip code","String","STDModel",""
"AGE","Age","Number","LeadModel",""
"AGE","Age at time of episode","Number","GeneralModel",""
"AGE","Age at time of episode","Number","HepModel",""
"AGE","Age","Number","STDModel",""
"AGE_DAYS","Age in days","Number","HepModel",""
"AGE_DAYS","Age in days","Number","GeneralModel",""
"AGE_FLAG","Age Flag","Selection","LeadModel","AGE_FLAG"
"AGE_GROUP","Age group","ReferenceCode","STDModel","AGE_GROUP"
"AGE_MONTHS","Age in months","Number","GeneralModel",""
"AGE_MONTHS","Age in months","Number","HepModel",""
"AGE_OVERRIDE","Manual age entry","Number","HepModel",""
"AGE_OVERRIDE","Manual age entry","Number","GeneralModel",""
"AGE_OVERRIDE_UNIT","Unit","Selection","GeneralModel","AGE_OVERRIDE_UNIT"
"AGE_OVERRIDE_UNIT","Unit","Selection","HepModel","AGE_OVERRIDE_UNIT"
"AGE_SETTING_VERIFIED","Were age and setting verified?","Selection","GeneralModel","AGE_SETTING_VERIFIED"
"AGE_UNITS","Unit","Selection","GeneralModel","AGE_UNITS"
"AGE_UNITS","Unit","Selection","HepModel","AGE_UNITS"
"AGE_YEARS","Age in years","Number","HepModel",""
"AGE_YEARS","Age in years","Number","GeneralModel",""
"AGE_YEARS","Age (in years)","Number","LeadModel",""
"AGENCY_ID","Agency ID","String","STDModel",""
"AIDS","AIDS","Selection","GeneralModel","AIDS"
"AIDS_CDC","CDC case definition for AIDS","String","STDModel",""
"AIDS_CDC_ELIG","CDC eligibility for AIDS","String","STDModel",""
"AIDS_DX_DT","Date of first AIDS classifying condition","Date","STDModel",""
"AIDS_REP_DT","Date reported as AIDS","Date","STDModel",""
"AIR_TRAVEL_WHILE_ILL","Air travel while ill","Selection","GeneralModel","AIR_TRAVEL_WHILE_ILL"
"ALCOHOL_12_MOS","Alcohol","ReferenceCode","STDModel","YNRD"
"ALCOHOL_12_MOS_FREQUENCY","Frequency of use","Number","STDModel",""
"ALCOHOL_12_MOS_FREQUENCY_UNITS","Units","ReferenceCode","STDModel","DRUG_FREQ"
"ALCOHOL_IX_PD","Alcohol","ReferenceCode","STDModel","YNURD"
"ALCOHOL_IX_PD_FREQUENCY","Frequency of use","Number","STDModel",""
"ALCOHOL_IX_PD_FREQUENCY_UNITS","Units","ReferenceCode","STDModel","DRUG_FREQ"
"alias","","Text","ids_party",""
"alias_upper","","Text","ids_party",""
"ALL_ARBO","All Arboviruses","String","GeneralModel",""
"ALL_BT","Show for all BT diseases","String","GeneralModel",""
"ALL_COVID","All COVID disease codes","String","GeneralModel",""
"ALL_ECOLI","All E. coli","String","GeneralModel",""
"ALL_ENT","All Enteric diseases","String","GeneralModel",""
"ALL_ENT_EXCEPT_VIBRIO","All Enteric diseases except Vibrio","String","GeneralModel",""
"ALL_ENT_EXCEPT_VIBRIO_AND_FISH_POISONING","All Enteric diseases except Vibrio and Fish Poisonings","String","GeneralModel",""
"ALL_FLU","Show for all FLU diseases","String","GeneralModel",""
"ALL_GEN","Show for all general diseases","String","GeneralModel",""
"ALL_SAL","Show for all SAL diseases","String","GeneralModel",""
"ALL_VHFS","All Viral Hemorrhagic Fever Diseases","String","GeneralModel",""
"ALL_VPD","All VPD diseases","String","GeneralModel",""
"ALL_ZIKA","Show for all ZIKA diseases","String","GeneralModel",""
"ALL_ZOO","All zoonotic/vectorborne diseases","String","GeneralModel",""
"allow_renewal","","Boolean","ids_case",""
"ALT_DATE","ALT test date","Date","HepModel",""
"ALT_TEST_RESULT","ALT test result","String","HepModel",""
"ALTERED_MENTAL_STATUS","Altered mental status","Selection","GeneralModel","ALTERED_MENTAL_STATUS"
"ALTERNATE_DIAGNOSIS_FORM_USED","Was an alternate diagnosis form used?","Selection","HepModel","ALTERNATE_DIAGNOSIS_FORM_USED"
"amount","","Numeric","ids_case",""
