"FieldName","FieldLabel","DataType","SourceTable","ValueSet"
"DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_COMMUNICATION","Communication Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_COMMUNICATION"
"DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_FINE_MOTOR","Fine Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_FINE_MOTOR"
"DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_GROSS_MOTOR","Gross Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_GROSS_MOTOR"
"DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_PERSONAL","Personal-Social Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_PERSONAL"
"DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_PROBLEM","Problem Solving Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWELVE_SIXTEEN_PROBLEM"
"DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_COMMUNICATION","Communication Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_COMMUNICATION"
"DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_FINE_MOTOR","Fine Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_FINE_MOTOR"
"DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_GROSS_MOTOR","Gross Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_GROSS_MOTOR"
"DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_PERSONAL","Personal-Social Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_PERSONAL"
"DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_PROBLEM","Problem Solving Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTY_TWENTYFOUR_PROBLEM"
"DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_COMMUNICATION","Communication Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_COMMUNICATION"
"DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_FINE_MOTOR","Fine Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_FINE_MOTOR"
"DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_GROSS_MOTOR","Gross Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_GROSS_MOTOR"
"DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_PERSONAL","Personal-Social Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_PERSONAL"
"DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_PROBLEM","Problem Solving Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWENTYFOUR_THIRTY_PROBLEM"
"DEVELOPMENTAL_SCREENING_TWO_FOUR_COMMUNICATION","Communication Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWO_FOUR_COMMUNICATION"
"DEVELOPMENTAL_SCREENING_TWO_FOUR_FINE_MOTOR","Fine Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWO_FOUR_FINE_MOTOR"
"DEVELOPMENTAL_SCREENING_TWO_FOUR_GROSS_MOTOR","Gross Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWO_FOUR_GROSS_MOTOR"
"DEVELOPMENTAL_SCREENING_TWO_FOUR_PERSONAL","Personal-Social Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWO_FOUR_PERSONAL"
"DEVELOPMENTAL_SCREENING_TWO_FOUR_PROBLEM","Problem Solving Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_TWO_FOUR_PROBLEM"
"DEVELOPMENTAL_SCREENING_ZERO_TWO_COMMUNICATION","Communication Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_ZERO_TWO_COMMUNICATION"
"DEVELOPMENTAL_SCREENING_ZERO_TWO_FINE_MOTOR","Fine Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_ZERO_TWO_FINE_MOTOR"
"DEVELOPMENTAL_SCREENING_ZERO_TWO_GROSS_MOTOR","Gross Motor Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_ZERO_TWO_GROSS_MOTOR"
"DEVELOPMENTAL_SCREENING_ZERO_TWO_PERSONAL","Personal-Social Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_ZERO_TWO_PERSONAL"
"DEVELOPMENTAL_SCREENING_ZERO_TWO_PROBLEM","Problem Solving Score","Selection","LeadModel","DEVELOPMENTAL_SCREENING_ZERO_TWO_PROBLEM"
"DFA_PERFORMED","Direct fluorescent antibody (DFA)?","Selection","GeneralModel","DFA_PERFORMED"
"DFA_RESULT","DFA result","ReferenceCode","GeneralModel","DFA_RESULTS"
"DFA_SPECIMEN_DATE","DFA specimen date","Date","GeneralModel",""
"DFA_TEST_DATE","DFA test date","Date","GeneralModel",""
"DGMQ_ID","DGMQ_ID","String","GeneralModel",""
"DIABETES","Diabetes","Selection","GeneralModel","DIABETES"
"DIABETES_INSULIN_DEPENDENT","Insulin dependent diabetes?","Selection","GeneralModel","DIABETES_INSULIN_DEPENDENT"
"DIABETES_MEDICATION","At diagnosis, were you receiving insulin or other medications to treat diabetes?","Selection","GeneralModel","DIABETES_MEDICATION"
"DIAGNOSED_STAGE_OF_SYPHILIS_1","Stage of Syphilis","ReferenceCode","STDModel","DCSYPH"
"DIAGNOSED_STAGE_OF_SYPHILIS_2","Stage of Syphilis","ReferenceCode","STDModel","DCSYPH"
"DIAGNOSED_STAGE_OF_SYPHILIS_3","Stage of Syphilis","ReferenceCode","STDModel","DCSYPH"
"DIAGNOSED_STD_3_YRS_1","What was the most recent STD with which the patient diagnosed?","ReferenceCode","STDModel","STD_LIST"
"DIAGNOSED_STD_3_YRS_2","What was the second most recent STD with which the patient diagnosed?","ReferenceCode","STDModel","STD_LIST"
"DIAGNOSED_STD_3_YRS_3","What was the third most recent STD with which the patient diagnosed?","ReferenceCode","STDModel","STD_LIST"
"DIAGNOSED_STD_CONFIRMED_1","Confirmed by record search or provider contact","Selection","STDModel","DIAGNOSED_STD_CONFIRMED_1"
"DIAGNOSED_STD_CONFIRMED_2","Confirmed by record search or provider contact","Selection","STDModel","DIAGNOSED_STD_CONFIRMED_2"
"DIAGNOSED_STD_CONFIRMED_3","Confirmed by record search or provider contact","Selection","STDModel","DIAGNOSED_STD_CONFIRMED_3"
"DIAGNOSED_STD_EVER","Has the patient ever been diagnosed with a sexually transmitted disease (STD)?","ReferenceCode","STDModel","YNUR"
"DIAGNOSED_STD_MO_1","Month diagnosed","Selection","STDModel","DIAGNOSED_STD_MO_1"
"DIAGNOSED_STD_MO_2","Month diagnosed","Selection","STDModel","DIAGNOSED_STD_MO_2"
"DIAGNOSED_STD_MO_3","Month diagnosed","Selection","STDModel","DIAGNOSED_STD_MO_3"
"DIAGNOSED_STD_YR_1","Year diagnosed","Number","STDModel",""
"DIAGNOSED_STD_YR_2","Year diagnosed","Number","STDModel",""
"DIAGNOSED_STD_YR_3","Year diagnosed","Number","STDModel",""
"DIAGNOSIS_CODE","Diagnosis code","ReferenceCode","STDModel","DIAGNOSIS_CODE"
"DIAGNOSIS_CODE_JUSTIFICATION_SYPH","Diagnosis code justification","Selection","STDModel","DIAGNOSIS_CODE_JUSTIFICATION_SYPH"
"DIAGNOSIS_DATE","Diagnosis date","Date","STDModel",""
"DIAGNOSIS_DATE","Diagnosis date","Date","GeneralModel",""
"DIAGNOSIS_DATE","Diagnosis date","Date","HepModel",""
"DIAGNOSIS_TIME","Diagnosis time","Time","HepModel",""
"DIAGNOSIS_TIME","Diagnosis Time","Time","GeneralModel",""
"DIAGOTHER","Did the patient have another diagnosis/etiology for their illness?","Selection","GeneralModel","DIAGOTHER"
"DIALYSIS_AT_DIAGNOSIS","At diagnosis, were you undergoing hemodialysis?","Selection","GeneralModel","DIALYSIS_AT_DIAGNOSIS"
"DIARRHEA","Diarrhea","Selection","GeneralModel","DIARRHEA"
"DIARY_DAY_0_BREAKFAST","Specify day 0 breakfast","String","GeneralModel",""
"DIARY_DAY_0_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_0_BREAKFAST_WHERE","Did you eat breakfast home or out on day 0?","Selection","GeneralModel","DIARY_DAY_0_BREAKFAST_WHERE"
"DIARY_DAY_0_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 0?","Party","GeneralModel",""
"DIARY_DAY_0_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 0?","String","GeneralModel",""
"DIARY_DAY_0_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_0_DATE","Day 0 = Onset date","Date","GeneralModel",""
"DIARY_DAY_0_DINNER","Specify day 0 dinner","String","GeneralModel",""
"DIARY_DAY_0_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_0_DINNER_WHERE","Did you eat dinner home or out on day 0?","Selection","GeneralModel","DIARY_DAY_0_DINNER_WHERE"
"DIARY_DAY_0_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 0?","Party","GeneralModel",""
"DIARY_DAY_0_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 0?","String","GeneralModel",""
"DIARY_DAY_0_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_0_LUNCH","Specify day 0 lunch","String","GeneralModel",""
"DIARY_DAY_0_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_0_LUNCH_WHERE","Did you eat lunch home or out on day 0?","Selection","GeneralModel","DIARY_DAY_0_LUNCH_WHERE"
"DIARY_DAY_0_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 0?","Party","GeneralModel",""
"DIARY_DAY_0_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 0?","String","GeneralModel",""
"DIARY_DAY_0_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_0_SNACKS","Other meals or snacks on day 0?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_0_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 0","String","GeneralModel",""
"DIARY_DAY_0_SNACKS_TIME","Time","String","GeneralModel",""
"DIARY_DAY_1_BREAKFAST","Specify day 1 breakfast","String","GeneralModel",""
"DIARY_DAY_1_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_1_BREAKFAST_WHERE","Did you eat breakfast home or out on day 1?","Selection","GeneralModel","DIARY_DAY_1_BREAKFAST_WHERE"
"DIARY_DAY_1_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 1?","Party","GeneralModel",""
"DIARY_DAY_1_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 1?","String","GeneralModel",""
"DIARY_DAY_1_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_1_DATE","Day 1 = Onset date-1 day (1 day before patient got sick)","Date","GeneralModel",""
"DIARY_DAY_1_DINNER","Specify day 1 dinner","String","GeneralModel",""
"DIARY_DAY_1_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_1_DINNER_WHERE","Did you eat dinner home or out on day 1?","Selection","GeneralModel","DIARY_DAY_1_DINNER_WHERE"
"DIARY_DAY_1_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 1?","Party","GeneralModel",""
"DIARY_DAY_1_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 1?","String","GeneralModel",""
"DIARY_DAY_1_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_1_LUNCH","Specify day 1 lunch","String","GeneralModel",""
"DIARY_DAY_1_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_1_LUNCH_WHERE","Did you eat lunch home or out on day 1?","Selection","GeneralModel","DIARY_DAY_1_LUNCH_WHERE"
"DIARY_DAY_1_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 1?","Party","GeneralModel",""
"DIARY_DAY_1_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 1?","String","GeneralModel",""
"DIARY_DAY_1_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_1_SNACKS","Other meals or snacks on day 1?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_1_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 1","String","GeneralModel",""
"DIARY_DAY_1_SNACKS_TIME","Time","String","GeneralModel",""
"DIARY_DAY_2_BREAKFAST","Specify day 2 breakfast","String","GeneralModel",""
"DIARY_DAY_2_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_2_BREAKFAST_WHERE","Did you eat breakfast home or out on day 2?","Selection","GeneralModel","DIARY_DAY_2_BREAKFAST_WHERE"
"DIARY_DAY_2_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 2?","Party","GeneralModel",""
"DIARY_DAY_2_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 2?","String","GeneralModel",""
"DIARY_DAY_2_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_2_DATE","Day 2 = Onset date-2 days (2 days before patient got sick)","Date","GeneralModel",""
"DIARY_DAY_2_DINNER","Specify day 2 dinner","String","GeneralModel",""
"DIARY_DAY_2_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_2_DINNER_WHERE","Did you eat dinner home or out on day 2?","Selection","GeneralModel","DIARY_DAY_2_DINNER_WHERE"
"DIARY_DAY_2_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 2?","Party","GeneralModel",""
"DIARY_DAY_2_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 2?","String","GeneralModel",""
"DIARY_DAY_2_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_2_LUNCH","Specify day 2 lunch","String","GeneralModel",""
"DIARY_DAY_2_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_2_LUNCH_WHERE","Did you eat lunch home or out on day 2?","Selection","GeneralModel","DIARY_DAY_2_LUNCH_WHERE"
"DIARY_DAY_2_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 2?","Party","GeneralModel",""
"DIARY_DAY_2_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 2?","String","GeneralModel",""
"DIARY_DAY_2_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_2_SNACKS","Other meals or snacks on day 2?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_2_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 2","String","GeneralModel",""
"DIARY_DAY_2_SNACKS_TIME","Time","String","GeneralModel",""
"DIARY_DAY_3_BREAKFAST","Specify day 3 breakfast","String","GeneralModel",""
"DIARY_DAY_3_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_3_BREAKFAST_WHERE","Did you eat breakfast home or out on day 3?","Selection","GeneralModel","DIARY_DAY_3_BREAKFAST_WHERE"
"DIARY_DAY_3_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 3?","Party","GeneralModel",""
"DIARY_DAY_3_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 3?","String","GeneralModel",""
"DIARY_DAY_3_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_3_DATE","Day 3 = Onset date-3 days (3 days before patient got sick)","Date","GeneralModel",""
"DIARY_DAY_3_DINNER","Specify day 3 dinner","String","GeneralModel",""
"DIARY_DAY_3_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_3_DINNER_WHERE","Did you eat dinner home or out on day 3?","Selection","GeneralModel","DIARY_DAY_3_DINNER_WHERE"
"DIARY_DAY_3_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 3?","Party","GeneralModel",""
"DIARY_DAY_3_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 3?","String","GeneralModel",""
"DIARY_DAY_3_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_3_LUNCH","Specify day 3 lunch","String","GeneralModel",""
"DIARY_DAY_3_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_3_LUNCH_WHERE","Did you eat lunch home or out on day 3?","Selection","GeneralModel","DIARY_DAY_3_LUNCH_WHERE"
"DIARY_DAY_3_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 3?","Party","GeneralModel",""
"DIARY_DAY_3_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 3?","String","GeneralModel",""
"DIARY_DAY_3_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_3_SNACKS","Other meals or snacks on day 3?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_3_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 3","String","GeneralModel",""
"DIARY_DAY_3_SNACKS_TIME","Time","String","GeneralModel",""
"DIARY_DAY_4_BREAKFAST","Specify day 4 breakfast","String","GeneralModel",""
"DIARY_DAY_4_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_4_BREAKFAST_WHERE","Did you eat breakfast home or out on day 4?","Selection","GeneralModel","DIARY_DAY_4_BREAKFAST_WHERE"
"DIARY_DAY_4_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 4?","Party","GeneralModel",""
"DIARY_DAY_4_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 4?","String","GeneralModel",""
"DIARY_DAY_4_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_4_DATE","Day 4 = Onset date-4 days (4 days before patient got sick)","Date","GeneralModel",""
"DIARY_DAY_4_DINNER","Specify day 4 dinner","String","GeneralModel",""
"DIARY_DAY_4_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_4_DINNER_WHERE","Did you eat dinner home or out on day 4?","Selection","GeneralModel","DIARY_DAY_4_DINNER_WHERE"
"DIARY_DAY_4_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 4?","Party","GeneralModel",""
"DIARY_DAY_4_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 4?","String","GeneralModel",""
"DIARY_DAY_4_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_4_LUNCH","Specify day 4 lunch","String","GeneralModel",""
"DIARY_DAY_4_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_4_LUNCH_WHERE","Did you eat lunch home or out on day 4?","Selection","GeneralModel","DIARY_DAY_4_LUNCH_WHERE"
"DIARY_DAY_4_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 4?","Party","GeneralModel",""
"DIARY_DAY_4_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 4?","String","GeneralModel",""
"DIARY_DAY_4_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_4_SNACKS","Other meals or snacks on day 4?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_4_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 4","String","GeneralModel",""
"DIARY_DAY_4_SNACKS_TIME","Time","String","GeneralModel",""
"DIARY_DAY_5_BREAKFAST","Specify day 5 breakfast","String","GeneralModel",""
"DIARY_DAY_5_BREAKFAST_TIME","Time","String","GeneralModel",""
"DIARY_DAY_5_BREAKFAST_WHERE","Did you eat breakfast home or out on day 5?","Selection","GeneralModel","DIARY_DAY_5_BREAKFAST_WHERE"
"DIARY_DAY_5_BREAKFAST_WHERE_OUT_RESTAURANT","Name of restaurant where you had breakfast on day 5?","Party","GeneralModel",""
"DIARY_DAY_5_BREAKFAST_WHERE_OUT_SPECIFY","Name of other location where you had breakfast on day 5?","String","GeneralModel",""
"DIARY_DAY_5_BREAKFAST_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_5_DATE","Day 5 = Onset date-5 days (5 days before patient got sick)","Date","GeneralModel",""
"DIARY_DAY_5_DINNER","Specify day 5 dinner","String","GeneralModel",""
"DIARY_DAY_5_DINNER_TIME","Time","String","GeneralModel",""
"DIARY_DAY_5_DINNER_WHERE","Did you eat dinner home or out on day 5?","Selection","GeneralModel","DIARY_DAY_5_DINNER_WHERE"
"DIARY_DAY_5_DINNER_WHERE_OUT_RESTAURANT","Name of restaurant where you had dinner on day 5?","Party","GeneralModel",""
"DIARY_DAY_5_DINNER_WHERE_OUT_SPECIFY","Name of other location where you had dinner on day 5?","String","GeneralModel",""
"DIARY_DAY_5_DINNER_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_5_LUNCH","Specify day 5 lunch","String","GeneralModel",""
"DIARY_DAY_5_LUNCH_TIME","Time","String","GeneralModel",""
"DIARY_DAY_5_LUNCH_WHERE","Did you eat lunch home or out on day 5?","Selection","GeneralModel","DIARY_DAY_5_LUNCH_WHERE"
"DIARY_DAY_5_LUNCH_WHERE_OUT_RESTAURANT","Name of restaurant where you had lunch on day 5?","Party","GeneralModel",""
"DIARY_DAY_5_LUNCH_WHERE_OUT_SPECIFY","Name of other location where you had lunch on day 5?","String","GeneralModel",""
"DIARY_DAY_5_LUNCH_WHERE_OUT_SPECIFY_ADDRESS","Complete street address or cross streets if address is unknown of other location","String","GeneralModel",""
"DIARY_DAY_5_SNACKS","Other meals or snacks on day 5?","ReferenceCode","GeneralModel","FOOD_ANSWERS"
"DIARY_DAY_5_SNACKS_SPECIFY","Specify food items eaten for other meals or snacks on day 5","String","GeneralModel",""
"DIARY_DAY_5_SNACKS_TIME","Time","String","GeneralModel",""
"DIED_FROM_DISEASE","Died from this illness?","Selection","GeneralModel","DIED_FROM_DISEASE"
"DIED_FROM_DISEASE","Died from this illness?","Selection","HepModel","DIED_FROM_DISEASE"
"DIFFERENTIAL_BANDS","Differential bands (indicate %)","String","GeneralModel",""
"DIFFERENTIAL_LYMPHS","Differential lymphs (indicate %)","String","GeneralModel",""
"DIFFERENTIAL_SEGS","Differential segs (indicate %)","String","GeneralModel",""
"DIRECT_CONTACT_HUMAN_BODY_FLUIDS","Did the employee have direct contact with human blood or body fluids?","Selection","GeneralModel","DIRECT_CONTACT_HUMAN_BODY_FLUIDS"
"DIRECT_CONTACT_HUMAN_BODY_FLUIDS_FREQUENCY","Frequency of direct contact with blood or body fluids?","Selection","GeneralModel","DIRECT_CONTACT_HUMAN_BODY_FLUIDS_FREQUENCY"
"DIRECT_CONTACT_HUMAN_BODY_FLUIDS_TYPE","Type of body fluid","Selection [Multiple]","GeneralModel","DIRECT_CONTACT_HUMAN_BODY_FLUIDS_TYPE"
"DIRECT_CONTACT_HUMAN_BODY_FLUIDS_TYPE_SPECIFY","Specify","String","GeneralModel",""
"DIRECT_DAYCARE_CONTACT","Was the patient in direct contact with a daycare","Selection","GeneralModel","DIRECT_DAYCARE_CONTACT"
"DISCHARGE_DIAGNOSIS_1_ICD_9","Discharge diagnosis 1, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"DISCHARGE_DIAGNOSIS_2_ICD_9","Discharge diagnosis 2, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"DISCHARGE_DIAGNOSIS_3_ICD_9","Discharge diagnosis 3, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"DISCHARGE_DIAGNOSIS_4_ICD_9","Discharge diagnosis 4, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"DISCHARGE_DIAGNOSIS_5_ICD_9","Discharge diagnosis 5, ICD-9 code","ReferenceCode","GeneralModel","ICD-9"
"DISCHARGE_DIAGNOSIS_AVAILABLE","Discharge diagnoses available?","Selection","GeneralModel","DISCHARGE_DIAGNOSIS_AVAILABLE"
"DISCHARGE_OTHER_HOSPITAL_DESC","Specify hospital to which patient was transferred","String","GeneralModel",""
"DISEASE","Disease","Selection","GeneralModel","DISEASE"
"DISEASE","Disease","Selection","HepModel","DISEASE"
"DISEASE","Disease","Selection","STDModel","DISEASE"
"DISEASE_STATUS","Case classification","Selection","STDModel","DISEASE_STATUS"
"DISEASE_STATUS","Case status","Selection","HepModel","DISEASE_STATUS"
"DISEASE_STATUS","Case status","Selection","GeneralModel","DISEASE_STATUS"
"DISEASE_STATUS_CS","Congenital syphilis case classification","Selection","STDModel","DISEASE_STATUS_CS"
"DISEASE_STATUS_NOTES","Notes Note written by: ${Answer.DISEASE_STATUS_NOTES_USER} Date and time: ${Answer.DISEASE_STATUS_NOTES_TIMESTAMP}","TextArea","STDModel",""
"DISEASE_STATUS_NOTES_TIMESTAMP","Timestamp","String","STDModel",""
"DISEASE_STATUS_NOTES_USER","User","String","STDModel",""
"DISPOSITION_AT_CLOSURE","Disposition at closure","Selection","HepModel","DISPOSITION_AT_CLOSURE"
"DISPOSITION_OF_PREGNANCY","Disposition of Pregnancy","Selection","GeneralModel","DISPOSITION_OF_PREGNANCY"
"DISSEMINATED","Disseminated","Selection","STDModel","DISSEMINATED"
"DISSEMINATED_INTRAVASCULAR_COAGULATION_DIC","Disseminated intravascular coagulation (DIC)","Selection","GeneralModel","DISSEMINATED_INTRAVASCULAR_COAGULATION_DIC"
"DOB","Date of birth","Date","LeadModel",""
"DOMESTIC_TRAVEL_INSIDE_HAWAII_ARRIVAL_CARRIER","Arrival carrier?","String","GeneralModel",""
"DOMESTIC_TRAVEL_INSIDE_HAWAII_ARRIVAL_WHERE","Where travelled?","String","GeneralModel",""
"DOMESTIC_TRAVEL_INSIDE_HI","Did the patient travel within Hawaii prior to onset?","Selection","GeneralModel","DOMESTIC_TRAVEL_INSIDE_HI"
"DOMESTIC_TRAVEL_INSIDE_HI_CRUISE_FLIGHT_NUMBER","Cruise/Flight number","String","GeneralModel",""
"DOMESTIC_TRAVEL_INSIDE_HI_DATE_FROM","Date from","Date","GeneralModel",""
